time,IPLA,IPref,ECEcore,SSXcore,LI,Q95,ZMAG,Vloop,IPE,Instability,Window
0.108,-262040.94,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-5.0983324,-262040.9,0,5
0.109,-260116.22,-0.030765533,598.0039,0.0024414808,0.5927335,13.832668,-0.0012416292,-5.6548176,-260116.19,0,5
0.11,-260496.27,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-5.096334,-260496.23,0,5
0.111,-260629.0,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-5.5741777,-260628.97,0,5
0.112,-260493.0,-0.030765533,598.0039,0.0030518472,0.5927335,13.832668,-0.0012416292,-5.4565487,-260492.97,0,5
0.113,-259295.03,-0.030765533,598.0039,0.0024414808,0.5927335,13.832668,-0.0012416292,-6.0137,-259295.0,0,5
0.114,-259352.23,-0.030765533,598.0039,0.0024414957,0.5927335,13.832668,-0.0012416292,-5.5361896,-259352.2,0,5
0.115,-259098.39,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-5.615164,-259098.36,0,5
0.116,-258480.48,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-5.854086,-258480.45,0,5
0.117,-256054.88,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-6.4512234,-256054.84,0,5
0.118,-256642.8,-0.030765533,598.0039,0.0030518621,0.5927335,13.832668,-0.0012416292,-5.8544188,-256642.77,0,5
0.119,-255738.66,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-6.0930076,-255738.62,0,5
0.12,-255163.77,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-6.2519555,-255163.73,0,5
0.121,-255806.38,-0.030765533,598.0039,0.0012207478,0.5927335,13.832668,-0.0012416292,-5.8940725,-255806.34,0,5
0.122,-254877.39,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-5.8537526,-254877.36,0,6
0.123,-252494.52,-0.030765533,598.0039,0.0027466863,0.5927335,13.832668,-0.0012416292,-6.3719163,-252494.48,0,6
0.124,-253651.03,-0.030765533,598.0039,0.0012207478,0.5927335,13.832668,-0.0012416292,-6.013034,-253651.0,0,6
0.125,-253477.73,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-6.2519555,-253477.7,0,6
0.126,-253034.66,-0.030765533,598.0039,0.0027466714,0.5927335,13.832668,-0.0012416292,-5.93306,-253034.62,0,6
0.127,-250391.42,-0.030765533,598.0039,0.0016785264,0.5927335,13.832668,-0.0012416292,-6.4512234,-250391.39,0,6
0.128,-249984.4,-0.030765533,598.0039,0.0028992742,0.5927335,13.832668,-0.0012416292,-6.2516227,-249984.38,0,6
0.129,-250582.22,-0.030765533,598.0039,0.0025940835,0.5927335,13.832668,-0.0012416292,-6.210636,-250582.19,0,6
0.13,-249759.56,-0.030765533,598.0039,0.0015259385,0.5927335,13.832668,-0.0012416292,-6.490211,-249759.53,0,6
0.131,-248714.22,-0.030765533,598.0039,0.0028992593,0.5927335,13.832668,-0.0012416292,-6.8077745,-248714.19,0,6
0.132,-248184.95,-0.030765533,598.0039,0.0028992593,0.5927335,13.832668,-0.0012416292,-6.489878,-248184.92,0,6
0.133,-247811.61,-0.030765533,598.0039,0.0015259385,0.5927335,13.832668,-0.0012416292,-6.2116356,-247811.58,0,6
